"","Phylum","Class","Order","Family","WW","SM"
"80","Patescibacteria","Parcubacteria","Candidatus_Campbellbacteria",NA,7,NA
"81","Patescibacteria","Parcubacteria","Candidatus_Kaiserbacteria",NA,6,NA
"82","Patescibacteria","Parcubacteria","Candidatus_Lloydbacteria",NA,1,NA
"83","Patescibacteria","Parcubacteria","Candidatus_Moranbacteria",NA,3,NA
"84","Patescibacteria","Parcubacteria","Candidatus_Nomurabacteria",NA,9,NA
"85","Patescibacteria","Parcubacteria",NA,NA,12,NA
"86","Patescibacteria","Saccharimonadia","Saccharimonadales",NA,14,NA
"87","PAUC34f",NA,NA,NA,NA,1
"88","Planctomycetota","OM190",NA,NA,NA,4
"89","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae",1,3
"90","Planctomycetota","Pla3_lineage",NA,NA,NA,2
"91","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",1,7
"92","Planctomycetota","Planctomycetes","Planctomycetales","Gimesiaceae",NA,2
"93","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae",NA,1
"94","Planctomycetota","Planctomycetes","Planctomycetales",NA,1,NA
"95","Proteobacteria","Alphaproteobacteria","AT-s3-44",NA,NA,1
"96","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae",1,2
"97","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae",NA,1
"98","Proteobacteria","Alphaproteobacteria","Defluviicoccales",NA,NA,6
"99","Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae",1,NA
"100","Proteobacteria","Alphaproteobacteria","Parvibaculales","Parvibaculaceae",NA,1
"101","Proteobacteria","Alphaproteobacteria","Parvibaculales","PS1_clade",3,NA
"102","Proteobacteria","Alphaproteobacteria","Puniceispirillales","SAR116_clade",1,8
"103","Proteobacteria","Alphaproteobacteria","Reyranellales","Reyranellaceae",NA,1
"104","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae",1,NA
"105","Proteobacteria","Alphaproteobacteria","Rhizobiales","Stappiaceae",NA,1
"106","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA,2
"107","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",28,9
"108","Proteobacteria","Alphaproteobacteria","Rhodospirillales","AEGEAN-169_marine_group",1,3
"109","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospiraceae",NA,2
"110","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae",NA,1
